@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
210,433,75,61,349,0.14878,0.852362,0.876518,0.852362,0.123482,0.864271,0.538126,1.583944,0.583565
211,432,76,61,349,0.14878,0.850394,0.876268,0.850394,0.123732,0.863137,0.537037,1.583492,0.585538
212,431,77,60,350,0.146341,0.848425,0.8778,0.848425,0.1222,0.862863,0.534858,1.586261,0.586418
213,430,78,60,350,0.146341,0.846457,0.877551,0.846457,0.122449,0.861723,0.533769,1.585811,0.58713
214,429,79,60,350,0.146341,0.844488,0.877301,0.844488,0.122699,0.860582,0.53268,1.585358,0.588175
215,429,79,59,351,0.143902,0.844488,0.879098,0.844488,0.120902,0.861446,0.53159,1.588607,0.588773
216,427,81,59,351,0.143902,0.840551,0.878601,0.840551,0.121399,0.859155,0.529412,1.587708,0.594057
217,426,82,59,351,0.143902,0.838583,0.878351,0.838583,0.121649,0.858006,0.528322,1.587255,0.59865
218,426,82,58,352,0.141463,0.838583,0.880165,0.838583,0.119835,0.858871,0.527233,1.590535,0.600481
219,425,83,58,352,0.141463,0.836614,0.879917,0.836614,0.120083,0.857719,0.526144,1.590087,0.604369
220,424,84,58,352,0.141463,0.834646,0.879668,0.834646,0.120332,0.856566,0.525054,1.589636,0.613341
221,421,87,58,352,0.141463,0.82874,0.878914,0.82874,0.121086,0.85309,0.521786,1.588274,0.616601
222,420,88,58,352,0.141463,0.826772,0.878661,0.826772,0.121339,0.851927,0.520697,1.587817,0.617207
223,419,89,58,352,0.141463,0.824803,0.878407,0.824803,0.121593,0.850761,0.519608,1.587357,0.619457
224,418,90,58,352,0.141463,0.822835,0.878151,0.822835,0.121849,0.849593,0.518519,1.586895,0.624095
225,417,91,58,352,0.141463,0.820866,0.877895,0.820866,0.122105,0.848423,0.517429,1.586432,0.628978
226,415,93,58,352,0.141463,0.816929,0.877378,0.816929,0.122622,0.846075,0.515251,1.585499,0.634569
227,415,93,57,353,0.139024,0.816929,0.879237,0.816929,0.120763,0.846939,0.514161,1.588858,0.636109
228,415,93,56,354,0.136585,0.816929,0.881104,0.816929,0.118896,0.847804,0.513072,1.592231,0.640812
229,414,94,56,354,0.136585,0.814961,0.880851,0.814961,0.119149,0.846626,0.511983,1.591774,0.64198
